customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,Contract_One year,Contract_Two year,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_13-24 months,TenureGroup_25-36 months,TenureGroup_37-48 months,TenureGroup_49-60 months,TenureGroup_61-72 months
7469-LKBCI,0,0,0,0,16,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,18.95,326.8,0,20.425,0,1,0,1,1,0,0,1,0,0,0,0
8091-TTVAX,0,0,1,0,58,1,Yes,No,No,Yes,No,Yes,Yes,0,100.35,5681.1,0,97.95,1,0,1,0,1,0,0,0,0,0,1,0
0280-XJGEX,0,0,0,0,49,1,Yes,No,Yes,Yes,No,Yes,Yes,1,103.7,5036.3,1,102.78163265306122,0,0,1,0,0,0,0,0,0,0,1,0
5129-JLPIS,0,0,0,0,25,1,No,Yes,No,Yes,Yes,Yes,Yes,1,105.5,2686.05,0,107.44200000000001,0,0,1,0,0,1,0,0,1,0,0,0
3655-SNQYZ,1,0,1,1,69,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,113.25,7895.15,0,114.42246376811593,0,1,1,0,1,0,0,0,0,0,0,1
8191-XWSZG,1,0,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,1022.95,0,19.672115384615385,1,0,0,1,0,0,1,0,0,0,1,0
9959-WOFKT,0,0,0,1,71,1,Yes,Yes,No,Yes,No,Yes,Yes,0,106.7,7382.25,0,103.97535211267606,0,1,1,0,0,0,0,0,0,0,0,1
4190-MFLUW,1,0,1,1,10,1,No,No,No,Yes,Yes,No,No,0,55.2,528.35,1,52.835,0,0,0,0,1,0,0,0,0,0,0,0
4183-MYFRB,1,0,0,0,21,1,No,No,Yes,Yes,No,No,Yes,1,90.05,1862.9,0,88.70952380952382,0,0,1,0,0,1,0,1,0,0,0,0
8779-QRDMV,0,1,0,0,1,0,No phone service,No,No,Yes,No,No,Yes,1,39.65,39.65,1,39.65,0,0,0,0,0,1,0,0,0,0,0,0
1680-VDCWW,0,0,1,0,12,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.8,202.25,0,16.854166666666668,1,0,0,1,0,0,0,0,0,0,0,0
1066-JKSGK,0,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,20.15,1,20.15,0,0,0,1,0,0,1,0,0,0,0,0
3638-WEABW,1,0,1,0,58,1,Yes,No,Yes,No,Yes,No,No,1,59.9,3505.1,0,60.432758620689654,0,1,0,0,1,0,0,0,0,0,1,0
6322-HRPFA,0,0,1,1,49,1,No,Yes,Yes,No,Yes,No,No,0,59.6,2970.3,0,60.61836734693878,0,0,0,0,1,0,0,0,0,0,1,0
6865-JZNKO,1,0,0,0,30,1,No,Yes,Yes,No,No,No,No,1,55.3,1530.6,0,51.019999999999996,0,0,0,0,0,0,0,0,1,0,0,0
6467-CHFZW,0,0,1,1,47,1,Yes,No,Yes,No,No,Yes,Yes,1,99.35,4749.15,1,101.04574468085106,0,0,1,0,0,1,0,0,0,1,0,0
8665-UTDHZ,0,0,1,1,1,0,No phone service,No,Yes,No,No,No,No,0,30.2,30.2,1,30.2,0,0,0,0,0,1,0,0,0,0,0,0
5248-YGIJN,0,0,1,0,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,90.25,6369.45,0,88.46458333333334,0,1,0,0,1,0,0,0,0,0,0,1
8773-HHUOZ,1,0,0,1,17,1,No,No,No,No,No,Yes,Yes,1,64.7,1093.1,1,64.3,0,0,0,0,0,0,1,1,0,0,0,0
3841-NFECX,1,1,1,0,71,1,Yes,Yes,Yes,Yes,Yes,No,No,1,96.35,6766.95,0,95.30915492957746,0,1,1,0,1,0,0,0,0,0,0,1
4929-XIHVW,0,1,1,0,2,1,No,No,No,Yes,No,Yes,Yes,1,95.5,181.65,0,90.825,0,0,1,0,1,0,0,0,0,0,0,0
6827-IEAUQ,1,0,1,1,27,1,No,Yes,Yes,Yes,Yes,No,No,0,66.15,1874.45,0,69.42407407407407,1,0,0,0,0,0,1,0,1,0,0,0
7310-EGVHZ,0,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,20.2,0,20.2,0,0,0,1,0,0,0,0,0,0,0,0
3413-BMNZE,0,1,0,0,1,1,No,No,No,No,No,No,No,0,45.25,45.25,0,45.25,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,1,0,1,1,72,1,Yes,Yes,Yes,No,Yes,Yes,No,0,99.9,7251.7,0,100.71805555555555,0,1,1,0,0,0,0,0,0,0,0,1
6047-YHPVI,0,0,0,0,5,1,No,No,No,No,No,No,No,1,69.7,316.9,1,63.379999999999995,0,0,1,0,0,1,0,0,0,0,0,0
6572-ADKRS,1,0,0,0,46,1,No,No,No,Yes,No,No,No,1,74.8,3548.3,0,77.13695652173914,0,0,1,0,1,0,0,0,0,1,0,0
5380-WJKOV,0,0,0,0,34,1,Yes,No,Yes,Yes,No,Yes,Yes,1,106.35,3549.25,1,104.38970588235294,0,0,1,0,0,1,0,0,1,0,0,0
8168-UQWWF,1,0,0,0,11,1,Yes,No,No,Yes,No,Yes,Yes,1,97.85,1105.4,1,100.4909090909091,0,0,1,0,0,0,0,0,0,0,0,0
8865-TNMNX,0,0,1,1,10,1,No,No,Yes,No,No,No,No,0,49.55,475.7,0,47.57,1,0,0,0,0,0,1,0,0,0,0,0
9489-DEDVP,1,0,1,1,70,1,Yes,Yes,Yes,No,No,Yes,No,1,69.2,4872.35,0,69.605,0,1,0,0,1,0,0,0,0,0,0,1
9867-JCZSP,1,0,1,1,17,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.75,418.25,0,24.602941176470587,1,0,0,1,0,0,1,1,0,0,0,0
4671-VJLCL,1,0,0,0,63,1,Yes,Yes,Yes,Yes,Yes,Yes,No,1,79.85,4861.45,0,77.16587301587302,0,1,0,0,1,0,0,0,0,0,0,1
4080-IIARD,1,0,1,0,13,1,Yes,Yes,Yes,No,Yes,Yes,No,1,76.2,981.45,0,75.49615384615385,0,0,0,0,0,1,0,1,0,0,0,0
3714-NTNFO,1,0,0,0,49,1,Yes,No,No,No,No,No,Yes,1,84.5,3906.7,0,79.72857142857143,0,0,1,0,0,1,0,0,0,0,1,0
5948-UJZLF,0,0,0,0,2,1,No,No,Yes,No,No,No,No,0,49.25,97.0,0,48.5,0,0,0,0,0,0,1,0,0,0,0,0
7760-OYPDY,1,0,0,0,2,1,No,No,No,No,No,Yes,No,1,80.65,144.15,1,72.075,0,0,1,0,0,1,0,0,0,0,0,0
7639-LIAYI,0,0,0,0,52,1,Yes,Yes,No,No,Yes,Yes,Yes,1,79.75,4217.8,0,81.11153846153846,0,1,0,0,1,0,0,0,0,0,1,0
2954-PIBKO,1,0,1,1,69,1,Yes,Yes,No,Yes,Yes,No,No,1,64.15,4254.1,0,61.6536231884058,0,1,0,0,1,0,0,0,0,0,0,1
8012-SOUDQ,1,1,0,0,43,1,Yes,No,Yes,No,No,Yes,No,1,90.25,3838.75,0,89.27325581395348,0,0,1,0,0,1,0,0,0,1,0,0
9420-LOJKX,1,0,0,0,15,1,No,Yes,Yes,No,No,Yes,Yes,1,99.1,1426.4,1,95.09333333333333,0,0,1,0,1,0,0,1,0,0,0,0
6575-SUVOI,1,1,1,0,25,1,Yes,Yes,No,No,Yes,Yes,No,1,69.5,1752.65,0,70.10600000000001,0,0,0,0,1,0,0,0,1,0,0,0
7495-OOKFY,1,1,1,0,8,1,Yes,No,Yes,No,No,No,No,1,80.65,633.3,1,79.1625,0,0,1,0,1,0,0,0,0,0,0,0
4667-QONEA,1,1,1,1,60,1,No,Yes,Yes,Yes,Yes,No,Yes,1,74.85,4456.35,0,74.27250000000001,1,0,0,0,1,0,0,0,0,0,1,0
1658-BYGOY,0,1,0,0,18,1,Yes,No,No,No,No,Yes,Yes,1,95.45,1752.55,1,97.36388888888888,0,0,1,0,0,1,0,1,0,0,0,0
8769-KKTPH,1,0,1,1,63,1,Yes,Yes,No,No,No,Yes,Yes,1,99.65,6311.2,0,100.17777777777778,1,0,1,0,1,0,0,0,0,0,0,1
5067-XJQFU,0,1,1,1,66,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,108.45,7076.35,0,107.21742424242424,1,0,1,0,0,1,0,0,0,0,0,1
3957-SQXML,1,0,1,1,34,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,24.95,894.3,0,26.302941176470586,0,1,0,1,1,0,0,0,1,0,0,0
5954-BDFSG,1,0,0,0,72,1,Yes,No,No,Yes,Yes,Yes,Yes,1,107.5,7853.7,0,109.07916666666667,0,1,1,0,1,0,0,0,0,0,0,1
0434-CSFON,1,0,1,0,47,1,Yes,No,No,Yes,No,Yes,Yes,1,100.5,4707.1,0,100.15106382978725,0,0,1,0,0,1,0,0,0,1,0,0
1215-FIGMP,0,0,0,0,60,1,Yes,No,Yes,No,No,Yes,No,1,89.9,5450.7,0,90.845,0,0,1,0,0,0,0,0,0,0,1,0
0526-SXDJP,0,0,1,0,72,0,No phone service,Yes,Yes,Yes,No,No,No,0,42.1,2962.0,0,41.138888888888886,0,1,0,0,0,0,0,0,0,0,0,1
0557-ASKVU,1,0,1,1,18,1,No,No,No,Yes,Yes,No,No,1,54.4,957.1,0,53.172222222222224,1,0,0,0,1,0,0,1,0,0,0,0
5698-BQJOH,1,0,0,0,9,1,Yes,No,No,No,No,Yes,Yes,0,94.4,857.25,1,95.25,0,0,1,0,0,1,0,0,0,0,0,0
5122-CYFXA,1,0,0,0,3,1,No,No,Yes,No,Yes,Yes,Yes,1,75.3,244.1,0,81.36666666666666,0,0,0,0,0,1,0,0,0,0,0,0
8627-ZYGSZ,0,0,1,0,47,1,Yes,No,Yes,No,No,No,No,1,78.9,3650.35,0,77.66702127659575,1,0,1,0,0,1,0,0,0,1,0,0
3410-YOQBQ,1,0,0,0,31,1,No,No,Yes,Yes,Yes,Yes,Yes,0,79.2,2497.2,0,80.55483870967741,0,1,0,0,0,0,1,0,1,0,0,0
3170-NMYVV,1,0,1,1,50,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,930.9,0,18.618,0,1,0,1,0,0,0,0,0,0,1,0
7410-OIEDU,0,0,0,0,10,1,No,Yes,No,Yes,No,No,No,1,79.85,887.35,0,88.735,0,0,1,0,0,0,1,0,0,0,0,0
2273-QCKXA,0,0,0,0,1,1,No,No,No,No,Yes,No,No,0,49.05,49.05,0,49.05,0,0,0,0,0,0,1,0,0,0,0,0
0731-EBJQB,1,0,1,1,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,20.4,1090.65,0,20.974038461538463,1,0,0,1,0,1,0,0,0,0,1,0
1891-QRQSA,0,1,1,1,64,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,111.6,7099.0,0,110.921875,0,1,1,0,0,0,0,0,0,0,0,1
8028-PNXHQ,0,0,1,1,62,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,24.25,1424.6,0,22.97741935483871,0,1,0,1,0,0,0,0,0,0,0,1
5630-AHZIL,1,0,0,1,3,1,No,Yes,No,No,Yes,No,Yes,1,64.5,177.4,0,59.13333333333333,0,0,0,0,0,0,0,0,0,0,0,0
2673-CXQEU,1,1,0,0,56,1,Yes,Yes,Yes,Yes,No,Yes,Yes,0,110.5,6139.5,0,109.63392857142857,1,0,1,0,0,1,0,0,0,0,1,0
6416-JNVRK,1,0,0,0,46,1,No,No,No,No,No,No,Yes,0,55.65,2688.85,0,58.45326086956521,1,0,0,0,1,0,0,0,0,1,0,0
5590-ZSKRV,1,0,1,1,8,1,No,Yes,Yes,No,No,No,No,0,54.65,482.25,0,60.28125,0,0,0,0,0,0,1,0,0,0,0,0
0191-ZHSKZ,0,1,0,0,30,1,No,Yes,Yes,No,No,Yes,Yes,1,74.75,2111.3,0,70.37666666666668,0,0,0,0,0,1,0,0,1,0,0,0
3887-PBQAO,1,0,1,1,45,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,25.9,1216.6,0,27.035555555555554,1,0,0,1,1,0,0,0,0,1,0,0
5919-TMRGD,1,0,0,1,1,1,No,No,No,No,No,Yes,No,1,79.35,79.35,1,79.35,0,0,1,0,0,1,0,0,0,0,0,0
8108-UXRQN,1,0,1,1,11,0,No phone service,Yes,No,No,No,Yes,Yes,0,50.55,565.35,0,51.39545454545455,0,0,0,0,0,1,0,0,0,0,0,0
9191-MYQKX,1,0,1,0,7,1,No,No,No,Yes,No,No,No,1,75.15,496.9,1,70.98571428571428,0,0,1,0,0,0,0,0,0,0,0,0
9919-YLNNG,1,0,0,0,42,1,No,No,Yes,Yes,Yes,Yes,Yes,1,103.8,4327.5,0,103.03571428571429,0,0,1,0,0,0,0,0,0,1,0,0
0318-ZOPWS,1,0,1,0,49,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,20.15,973.35,0,19.864285714285714,0,1,0,1,0,0,0,0,0,0,1,0
4445-ZJNMU,0,0,0,0,9,1,Yes,No,Yes,No,No,Yes,Yes,1,99.3,918.75,0,102.08333333333333,0,0,1,0,1,0,0,0,0,0,0,0
4808-YNLEU,1,0,1,0,35,1,No,Yes,No,No,No,Yes,No,1,62.15,2215.45,0,63.29857142857142,1,0,0,0,0,0,0,0,1,0,0,0
1862-QRWPE,1,0,1,1,48,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,1057.0,0,22.020833333333332,0,1,0,1,0,0,0,0,0,1,0,0
2796-NNUFI,1,0,1,1,46,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,19.95,927.1,0,20.15434782608696,0,1,0,1,0,0,1,0,0,1,0,0
3016-KSVCP,0,0,1,0,29,0,No phone service,No,No,No,No,Yes,No,0,33.75,1009.25,0,34.80172413793103,0,0,0,0,0,0,1,0,1,0,0,0
4767-HZZHQ,0,0,1,1,30,1,No,No,Yes,Yes,No,No,No,0,82.05,2570.2,0,85.67333333333333,0,0,1,0,0,0,0,0,1,0,0,0
2424-WVHPL,0,1,0,0,1,1,No,No,No,No,Yes,No,No,0,74.7,74.7,0,74.7,0,0,1,0,0,1,0,0,0,0,0,0
7233-PAHHL,0,0,1,1,66,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,84.0,5714.25,0,86.57954545454545,0,1,0,0,0,0,1,0,0,0,0,1
6067-NGCEU,1,0,0,0,65,1,Yes,Yes,Yes,Yes,No,Yes,Yes,1,111.05,7107.0,0,109.33846153846154,0,0,1,0,1,0,0,0,0,0,0,1
9848-JQJTX,0,0,0,0,72,1,Yes,No,Yes,Yes,No,Yes,Yes,1,100.9,7459.05,0,103.59791666666666,0,1,1,0,0,0,0,0,0,0,0,1
8637-XJIVR,1,0,0,0,12,1,Yes,Yes,No,No,No,No,No,1,78.95,927.35,1,77.27916666666667,0,0,1,0,0,1,0,0,0,0,0,0
9803-FTJCG,0,0,1,1,71,1,Yes,Yes,Yes,No,Yes,No,No,1,66.85,4748.7,0,66.8830985915493,1,0,0,0,1,0,0,0,0,0,0,1
0278-YXOOG,0,0,0,0,5,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,21.05,113.85,1,22.77,0,0,0,1,0,0,1,0,0,0,0,0
3212-KXOCR,0,0,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,21.0,1107.2,0,21.292307692307695,0,1,0,1,0,0,0,0,0,0,1,0
4598-XLKNJ,1,1,1,0,25,1,No,No,Yes,Yes,No,Yes,Yes,1,98.5,2514.5,1,100.58,0,0,1,0,0,1,0,0,1,0,0,0
6380-ARCEH,0,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,20.2,0,20.2,0,0,0,1,0,0,1,0,0,0,0,0
3679-XASPY,1,0,1,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.45,19.45,0,19.45,0,0,0,1,0,1,0,0,0,0,0,0
7123-WQUHX,0,0,0,0,38,1,Yes,No,No,Yes,Yes,Yes,No,0,95.0,3605.6,0,94.88421052631578,1,0,1,0,0,0,0,0,0,1,0,0
5386-THSLQ,1,1,1,0,66,0,No phone service,No,Yes,Yes,No,Yes,No,0,45.55,3027.25,0,45.86742424242424,1,0,0,0,0,0,0,0,0,0,0,1
3192-NQECA,0,0,1,0,68,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,110.0,7611.85,1,111.93897058823529,0,1,1,0,0,0,0,0,0,0,0,1
6180-YBIQI,0,0,0,0,5,0,No phone service,No,No,No,No,No,No,0,24.3,100.2,0,20.04,0,0,0,0,0,0,1,0,0,0,0,0
6728-DKUCO,1,0,1,1,72,1,Yes,Yes,Yes,No,No,Yes,Yes,1,104.15,7303.05,0,101.43125,1,0,1,0,0,1,0,0,0,0,0,1
9750-BOOHV,1,0,0,0,32,0,No phone service,Yes,No,No,No,No,No,0,30.15,927.65,0,28.9890625,1,0,0,0,0,0,1,0,1,0,0,0
8597-CWYHH,0,0,0,0,43,1,Yes,No,No,No,No,Yes,Yes,0,94.35,3921.3,0,91.19302325581396,1,0,1,0,0,0,1,0,0,1,0,0
2848-YXSMW,0,0,1,1,72,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.4,1363.25,0,18.93402777777778,0,1,0,1,1,0,0,0,0,0,0,1
0486-HECZI,0,0,1,0,55,1,Yes,Yes,Yes,No,No,Yes,No,1,96.75,5238.9,1,95.25272727272727,0,0,1,0,0,1,0,0,0,0,1,0
4549-ZDQYY,1,0,0,0,52,1,No,Yes,No,Yes,Yes,No,No,0,57.95,3042.25,0,58.50480769230769,1,0,0,0,1,0,0,0,0,0,1,0
5712-AHQNN,1,0,0,0,43,1,No,No,Yes,Yes,No,Yes,No,1,91.65,3954.1,0,91.95581395348837,0,0,1,0,0,1,0,0,0,1,0,0
4846-WHAFZ,1,1,1,0,37,1,Yes,No,No,No,No,No,No,1,76.5,2868.15,1,77.51756756756757,0,0,1,0,0,1,0,0,0,1,0,0
5256-SKJGO,1,0,1,1,64,0,No phone service,No,Yes,No,Yes,Yes,Yes,1,54.6,3423.5,0,53.4921875,0,1,0,0,0,1,0,0,0,0,0,1
3071-VBYPO,0,0,1,1,3,1,No,Yes,Yes,No,No,Yes,No,0,89.85,248.4,0,82.8,0,0,1,0,0,1,0,0,0,0,0,0
9560-BBZXK,1,0,0,0,36,0,No phone service,Yes,No,No,No,No,No,0,31.05,1126.35,0,31.287499999999998,0,1,0,0,0,0,0,0,1,0,0,0
5299-RULOA,1,0,1,1,10,1,Yes,Yes,No,No,No,Yes,Yes,1,100.25,1064.65,1,106.465,0,0,1,0,0,1,0,0,0,0,0,0
8402-OOOHJ,1,0,0,0,41,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,835.15,0,20.36951219512195,0,1,0,1,0,0,1,0,0,1,0,0
9445-ZUEQE,0,0,1,1,27,1,Yes,No,Yes,No,Yes,No,No,1,85.2,2151.6,0,79.68888888888888,0,0,1,0,1,0,0,0,1,0,0,0
1091-SOZGA,1,0,1,1,56,1,Yes,No,No,Yes,No,Yes,Yes,1,99.8,5515.45,0,98.49017857142857,1,0,1,0,1,0,0,0,0,0,1,0
2928-HLDBA,1,0,0,0,6,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.7,112.75,0,18.791666666666668,0,0,0,1,0,0,1,0,0,0,0,0
0404-SWRVG,0,0,0,0,3,1,Yes,No,No,No,No,No,No,1,74.4,229.55,1,76.51666666666667,0,0,1,0,0,1,0,0,0,0,0,0
6497-TILVL,1,0,1,1,7,1,No,Yes,No,No,No,No,No,0,50.7,350.35,0,50.050000000000004,0,0,0,0,0,0,1,0,0,0,0,0
7219-TLZHO,1,0,1,1,4,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.85,62.9,0,15.725,0,0,0,1,0,0,1,0,0,0,0,0
4622-YNKIJ,0,0,0,0,33,1,No,Yes,No,No,Yes,Yes,No,1,88.95,3027.65,0,91.7469696969697,0,1,1,0,0,1,0,0,1,0,0,0
4412-YLTKF,1,1,0,0,27,1,Yes,No,No,Yes,No,No,No,1,78.05,2135.5,1,79.0925925925926,0,0,1,0,0,1,0,0,1,0,0,0
6734-PSBAW,0,0,1,0,72,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,23.55,1723.95,0,23.94375,0,1,0,1,0,0,0,0,0,0,0,1
3930-ZGWVE,0,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.75,19.75,0,19.75,0,0,0,1,0,0,1,0,0,0,0,0
2639-UGMAZ,0,1,0,0,71,0,No phone service,Yes,Yes,No,No,Yes,Yes,1,56.45,3985.35,0,56.131690140845066,1,0,0,0,0,1,0,0,0,0,0,1
2876-GZYZC,1,0,0,0,13,1,Yes,No,No,No,No,No,Yes,1,85.95,1215.65,0,93.51153846153846,0,0,1,0,0,1,0,1,0,0,0,0
6207-WIOLX,1,0,1,1,25,0,No phone service,Yes,Yes,Yes,No,Yes,Yes,1,58.6,1502.65,1,60.106,0,0,0,0,1,0,0,0,1,0,0,0
8587-XYZSF,0,0,0,0,67,1,No,No,No,No,Yes,No,No,0,50.55,3260.1,0,48.65820895522388,0,1,0,0,0,0,0,0,0,0,0,1
3091-FYHKI,0,0,0,0,1,0,No phone service,No,No,No,No,No,Yes,1,35.45,35.45,1,35.45,0,0,0,0,0,1,0,0,0,0,0,0
2372-HWUHI,0,0,0,0,2,1,No,No,No,No,No,No,No,0,44.35,81.25,1,40.625,0,0,0,0,0,1,0,0,0,0,0,0
7799-LGRDP,1,0,0,0,43,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,25.7,1188.2,0,27.632558139534886,0,1,0,1,1,0,0,0,0,1,0,0
7850-VWJUU,1,0,0,0,23,1,No,Yes,No,No,No,No,No,1,75.0,1778.5,0,77.32608695652173,0,0,1,0,0,0,0,1,0,0,0,0
3774-VBNXY,1,0,1,1,64,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,1277.75,0,19.96484375,0,1,0,1,0,0,1,0,0,0,0,1
6217-KDYWC,0,0,0,1,57,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,19.6,1170.55,0,20.5359649122807,0,1,0,1,0,0,1,0,0,0,1,0
0390-DCFDQ,1,1,1,0,1,1,No,No,No,No,No,No,No,1,70.45,70.45,1,70.45,0,0,1,0,0,0,1,0,0,0,0,0
3146-MSEGF,1,1,1,1,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,88.05,6425.65,0,89.24513888888889,0,1,0,0,1,0,0,0,0,0,0,1
4080-OGPJL,1,0,0,0,8,1,Yes,Yes,No,No,Yes,No,Yes,0,71.15,563.65,1,70.45625,0,0,0,0,0,1,0,0,0,0,0,0
1095-WGNGG,1,0,1,0,61,1,Yes,No,Yes,No,No,Yes,Yes,1,101.05,5971.25,0,97.88934426229508,0,1,1,0,0,0,0,0,0,0,0,1
2636-SJDOU,0,0,0,0,64,1,Yes,Yes,Yes,No,No,No,No,1,84.3,5289.05,0,82.64140625,1,0,1,0,1,0,0,0,0,0,0,1
1131-QQZEB,0,1,1,0,71,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,23.95,1756.2,0,24.735211267605635,0,1,0,1,0,0,0,0,0,0,0,1
5716-EZXZN,1,0,1,1,65,1,Yes,Yes,Yes,No,Yes,Yes,No,1,99.05,6416.7,0,98.71846153846154,0,1,1,0,1,0,0,0,0,0,0,1
6837-BJYDQ,0,0,0,0,3,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.6,61.35,0,20.45,1,0,0,1,0,0,1,0,0,0,0,0
2135-RXIHG,0,0,0,0,1,1,No,No,No,No,No,No,No,1,45.65,45.65,1,45.65,0,0,0,0,0,1,0,0,0,0,0,0
6440-DKQGE,0,0,0,1,30,1,No,No,Yes,Yes,No,Yes,No,0,64.5,1929.95,0,64.33166666666666,1,0,0,0,1,0,0,0,1,0,0,0
3466-BYAVD,0,0,1,1,15,1,No,No,Yes,Yes,Yes,No,Yes,1,69.5,1071.4,0,71.42666666666668,0,0,0,0,0,0,1,1,0,0,0,0
3780-YVMFA,1,0,1,1,8,1,No,No,No,No,Yes,Yes,Yes,1,68.55,564.35,0,70.54375,0,0,0,0,0,1,0,0,0,0,0,0
3874-EQOEP,0,0,0,0,7,1,Yes,No,No,No,No,Yes,Yes,0,95.0,655.5,1,93.64285714285714,0,0,1,0,0,0,1,0,0,0,0,0
1679-JRFBR,1,0,1,1,70,1,Yes,Yes,Yes,Yes,No,Yes,Yes,1,108.15,7930.55,0,113.29357142857143,1,0,1,0,1,0,0,0,0,0,0,1
9073-ZZIAY,0,0,1,1,62,1,No,Yes,Yes,Yes,Yes,Yes,Yes,0,86.1,5215.25,0,84.11693548387096,0,1,0,0,0,1,0,0,0,0,0,1
